,Date,Open,High,Low,Close,Adj Close,Volume
3244,"Oct 10, 2015",243.74,245.32,243.07,244.94,244.94,"15,912,700"
3245,"Oct 9, 2015",242.50,244.23,242.12,243.93,243.93,"17,353,100"
3246,"Oct 8, 2015",243.07,244.25,242.18,242.30,242.30,"18,515,300"
3247,"Oct 7, 2015",246.17,246.68,242.59,242.97,242.97,"22,999,200"
3248,"Oct 6, 2015",240.36,246.93,240.14,246.06,246.06,"27,535,100"
3249,"Oct 5, 2015",238.15,240.38,237.04,240.38,240.38,"23,335,900"
3250,"Oct 4, 2015",238.53,238.97,237.94,238.26,238.26,"12,999,000"
3251,"Oct 3, 2015",237.20,239.32,236.94,238.73,238.73,"16,482,700"
3252,"Oct 2, 2015",237.26,238.54,236.60,237.29,237.29,"19,677,900"
3253,"Oct 1, 2015",236.00,238.45,235.62,237.55,237.55,"20,488,800"
3254,"Sep 30, 2015",236.64,237.73,235.63,236.06,236.06,"19,743,500"
3255,"Sep 29, 2015",239.02,239.80,235.93,236.69,236.69,"22,691,300"
3256,"Sep 28, 2015",232.84,239.34,232.47,239.14,239.14,"24,713,000"
3257,"Sep 27, 2015",234.14,234.53,232.48,232.76,232.76,"14,179,900"
3258,"Sep 26, 2015",235.08,235.40,233.36,234.34,234.34,"13,724,100"
3259,"Sep 25, 2015",234.36,237.43,233.68,235.14,235.14,"22,363,600"
3260,"Sep 24, 2015",230.36,235.65,230.29,234.53,234.53,"25,097,800"
3261,"Sep 23, 2015",230.94,231.84,229.59,230.28,230.28,"17,254,100"
3262,"Sep 22, 2015",226.97,232.39,225.12,230.62,230.62,"25,009,300"
3263,"Sep 21, 2015",231.22,231.22,226.52,227.09,227.09,"19,678,800"
3264,"Sep 20, 2015",231.40,232.37,230.91,231.21,231.21,"14,444,700"
3265,"Sep 19, 2015",232.86,233.21,231.09,231.49,231.49,"12,712,600"
3266,"Sep 18, 2015",233.52,234.35,232.18,232.98,232.98,"20,242,200"
3267,"Sep 17, 2015",229.08,230.29,228.93,229.81,229.81,"18,935,400"
3268,"Sep 16, 2015",230.25,231.21,227.40,229.09,229.09,"20,144,200"
3269,"Sep 15, 2015",230.49,259.18,229.82,230.30,230.30,"19,177,800"
3270,"Sep 14, 2015",230.61,232.44,227.96,230.64,230.64,"20,997,800"
3271,"Sep 13, 2015",235.24,235.93,229.33,230.51,230.51,"18,478,800"
3272,"Sep 12, 2015",239.85,240.12,234.75,235.23,235.23,"17,962,600"
3273,"Sep 11, 2015",238.33,241.17,238.33,240.11,240.11,"19,224,700"
3274,"Sep 10, 2015",238.34,241.29,235.79,238.48,238.48,"21,215,500"
3275,"Sep 9, 2015",243.41,244.42,237.82,238.17,238.17,"23,635,700"
3276,"Sep 8, 2015",239.85,245.78,239.68,243.61,243.61,"26,879,200"
3277,"Sep 7, 2015",239.93,242.11,238.72,239.85,239.85,"21,192,200"
3278,"Sep 6, 2015",234.87,242.91,234.68,239.84,239.84,"25,473,700"
3279,"Sep 5, 2015",230.20,236.14,229.44,235.02,235.02,"20,671,400"
3280,"Sep 4, 2015",227.21,230.90,227.05,230.30,230.30,"20,962,400"
3281,"Sep 3, 2015",229.32,229.60,226.67,227.18,227.18,"17,482,000"
3282,"Sep 2, 2015",228.03,230.58,226.48,229.28,229.28,"18,760,400"
3283,"Sep 1, 2015",230.26,231.22,226.86,228.12,228.12,"20,575,200"
3284,"Aug 31, 2015",229.11,231.96,225.91,230.06,230.06,"20,710,700"
3285,"Aug 30, 2015",229.90,232.07,226.25,228.76,228.76,"19,412,600"
3286,"Aug 29, 2015",231.55,233.22,227.33,229.78,229.78,"17,142,500"
3287,"Aug 28, 2015",224.70,235.22,220.93,231.40,231.40,"31,336,600"
3288,"Aug 27, 2015",226.05,228.64,223.68,224.77,224.77,"21,905,400"
3289,"Aug 26, 2015",222.08,231.18,220.20,225.83,225.83,"31,808,000"
3290,"Aug 25, 2015",210.07,226.32,199.57,221.61,221.61,"61,089,200"
3291,"Aug 24, 2015",228.11,228.14,210.44,210.49,210.49,"59,220,700"
3292,"Aug 23, 2015",230.38,232.71,225.58,228.17,228.17,"18,406,600"
3293,"Aug 22, 2015",232.66,234.96,222.70,230.39,230.39,"23,205,900"
3294,"Aug 21, 2015",235.35,236.43,231.72,232.57,232.57,"23,173,800"
3295,"Aug 20, 2015",226.90,237.37,226.90,235.35,235.35,"32,275,000"
3296,"Aug 19, 2015",225.67,237.41,222.77,226.68,226.68,"60,869,200"
3297,"Aug 18, 2015",257.93,257.99,211.08,211.08,211.08,"42,147,200"
3298,"Aug 17, 2015",258.49,260.51,257.12,257.98,257.98,"21,617,900"
3299,"Aug 16, 2015",261.87,262.44,257.04,258.51,258.51,"29,717,000"
3300,"Aug 15, 2015",265.53,266.67,261.30,261.55,261.55,"19,321,100"
3301,"Aug 14, 2015",264.13,267.47,261.48,265.68,265.68,"27,091,200"
3302,"Aug 13, 2015",266.18,266.23,262.84,264.08,264.08,"27,685,500"
3303,"Aug 12, 2015",270.60,270.67,265.47,266.38,266.38,"26,815,400"
3304,"Aug 11, 2015",264.34,270.39,264.09,270.39,270.39,"25,433,900"
3305,"Aug 10, 2015",265.48,267.03,262.60,264.47,264.47,"20,979,400"
3306,"Aug 9, 2015",261.12,267.00,260.47,265.08,265.08,"23,789,600"
3307,"Aug 8, 2015",279.74,279.93,260.71,261.00,261.00,"58,533,000"
3308,"Aug 7, 2015",278.74,280.39,276.37,279.58,279.58,"42,484,800"
3309,"Aug 6, 2015",281.91,281.91,278.40,278.58,278.58,"18,792,100"
3310,"Aug 5, 2015",284.85,285.50,281.49,281.88,281.88,"20,128,000"
3311,"Aug 4, 2015",281.23,285.71,281.23,285.22,285.22,"21,908,700"
3312,"Aug 3, 2015",282.81,285.47,280.23,281.23,281.23,"21,474,100"
3313,"Aug 2, 2015",280.45,283.03,277.53,282.61,282.61,"17,722,200"
3314,"Aug 1, 2015",284.69,284.93,278.11,281.60,281.60,"18,995,000"
3315,"Jul 31, 2015",287.70,288.96,282.34,284.65,284.65,"23,629,100"
3316,"Jul 30, 2015",289.10,290.13,286.57,287.72,287.72,"21,635,800"
3317,"Jul 29, 2015",294.48,294.54,288.78,289.59,289.59,"24,672,600"
3318,"Jul 28, 2015",293.63,296.65,293.42,294.43,294.43,"25,453,600"
3319,"Jul 27, 2015",292.64,297.77,287.45,293.62,293.62,"30,592,000"
3320,"Jul 26, 2015",288.64,293.05,287.71,292.69,292.69,"16,032,300"
3321,"Jul 25, 2015",288.16,290.73,286.00,288.70,288.70,"20,662,200"
3322,"Jul 24, 2015",276.01,289.25,275.25,288.28,288.28,"37,199,400"
3323,"Jul 23, 2015",277.34,278.11,275.72,276.05,276.05,"18,531,300"
3324,"Jul 22, 2015",275.66,277.67,274.38,277.22,277.22,"19,389,800"
3325,"Jul 21, 2015",278.88,280.55,275.42,275.83,275.83,"22,930,700"
3326,"Jul 20, 2015",273.50,278.98,272.96,278.98,278.98,"22,711,400"
3327,"Jul 19, 2015",274.77,275.67,272.51,273.61,273.61,"15,332,500"
3328,"Jul 18, 2015",279.33,282.53,274.08,274.90,274.90,"25,187,100"
3329,"Jul 17, 2015",278.09,280.28,272.04,279.47,279.47,"27,591,400"
3330,"Jul 16, 2015",286.04,291.18,275.24,278.09,278.09,"49,482,600"
3331,"Jul 15, 2015",288.05,293.25,285.37,285.83,285.83,"27,486,600"
3332,"Jul 14, 2015",292.03,296.15,286.64,287.46,287.46,"28,727,200"
3333,"Jul 13, 2015",310.83,310.95,281.01,292.05,292.05,"62,053,900"
3334,"Jul 12, 2015",293.14,314.39,292.51,310.87,310.87,"56,405,000"
3335,"Jul 11, 2015",284.88,298.51,283.53,293.11,293.11,"41,109,900"
3336,"Jul 10, 2015",269.16,294.59,268.80,284.89,284.89,"100,390,000"
3337,"Jul 9, 2015",270.83,272.33,267.09,269.23,269.23,"40,301,200"
3338,"Jul 8, 2015",265.98,272.97,264.39,270.79,270.79,"36,980,200"
3339,"Jul 7, 2015",269.96,271.34,264.83,266.21,266.21,"28,857,600"
3340,"Jul 6, 2015",271.11,277.42,267.60,269.03,269.03,"49,154,800"
3341,"Jul 5, 2015",260.80,274.51,258.70,271.91,271.91,"44,156,100"
3342,"Jul 4, 2015",256.49,261.46,254.20,260.89,260.89,"15,620,400"
3343,"Jul 3, 2015",255.46,257.08,253.51,256.34,256.34,"19,033,800"
3344,"Jul 2, 2015",258.55,261.63,254.12,255.41,255.41,"21,551,900"
3345,"Jul 1, 2015",263.35,265.17,255.77,258.62,258.62,"27,029,800"
3346,"Jun 30, 2015",257.04,267.87,255.95,263.07,263.07,"44,533,800"
3347,"Jun 29, 2015",248.72,257.17,248.58,257.06,257.06,"34,742,900"
3348,"Jun 28, 2015",250.96,251.17,247.43,249.01,249.01,"15,137,600"
3349,"Jun 27, 2015",243.55,251.34,243.12,250.99,250.99,"20,488,600"
3350,"Jun 26, 2015",242.60,243.75,241.55,243.59,243.59,"13,983,500"
3351,"Jun 25, 2015",240.37,243.33,240.37,242.80,242.80,"16,133,100"
3352,"Jun 24, 2015",244.28,244.34,240.51,240.51,240.51,"17,344,900"
3353,"Jun 23, 2015",246.93,247.30,243.13,244.30,244.30,"15,108,700"
3354,"Jun 22, 2015",243.97,247.92,243.78,246.99,246.99,"17,692,500"
3355,"Jun 21, 2015",245.10,245.22,241.88,243.94,243.94,"10,600,900"
3356,"Jun 20, 2015",244.53,245.83,240.63,245.21,245.21,"20,608,100"
3357,"Jun 19, 2015",249.04,250.98,243.79,244.61,244.61,"23,965,300"
3358,"Jun 18, 2015",249.43,252.11,244.13,249.01,249.01,"30,980,200"
3359,"Jun 17, 2015",250.82,256.85,246.48,249.28,249.28,"43,858,400"
3360,"Jun 16, 2015",236.76,251.74,236.12,250.90,250.90,"41,612,000"
3361,"Jun 15, 2015",233.42,237.84,233.42,236.82,236.82,"19,912,100"
3362,"Jun 14, 2015",232.44,234.86,232.00,233.54,233.54,"12,165,900"
3363,"Jun 13, 2015",229.92,232.65,229.21,232.40,232.40,"13,305,300"
3364,"Jun 12, 2015",229.71,231.06,229.31,229.98,229.98,"14,017,700"
3365,"Jun 11, 2015",228.85,230.29,228.77,229.71,229.71,"14,416,000"
3366,"Jun 10, 2015",228.99,229.78,228.01,228.80,228.80,"15,904,800"
